iter	Passed	Remaining
0	138	138376
1	139	69520
2	140	46548
3	140	35024
4	141	28100
5	141	23489
6	142	20195
7	142	17720
8	143	15796
9	143	14254
10	144	12998
11	145	11949
12	145	11061
13	146	10299
14	146	9638
15	147	9060
16	148	8558
17	148	8105
18	149	7699
19	149	7334
20	151	7043
21	151	6755
22	152	6494
23	153	6244
24	154	6014
25	154	5800
26	155	5604
27	156	5420
28	156	5247
29	157	5084
30	157	4932
31	158	4790
32	158	4656
33	159	4530
34	159	4411
35	160	4299
36	161	4192
37	161	4092
38	162	3998
39	162	3906
40	163	3820
41	163	3740
42	165	3674
43	165	3606
44	166	3537
45	167	3469
46	167	3403
47	168	3340
48	168	3279
49	169	3221
50	170	3165
51	170	3111
52	171	3059
53	171	3009
54	172	2961
55	172	2914
56	173	2870
57	174	2826
58	174	2785
59	175	2745
60	175	2706
61	176	2667
62	176	2630
63	177	2594
64	177	2559
65	178	2525
66	179	2505
67	180	2478
68	181	2448
69	182	2418
70	182	2389
71	183	2361
72	183	2333
73	184	2306
74	184	2279
75	185	2254
76	185	2229
77	186	2204
78	187	2180
79	187	2156
80	188	2134
81	188	2112
82	188	2088
83	189	2067
84	190	2046
85	190	2026
86	191	2006
87	191	1987
88	192	1968
89	192	1949
90	193	1931
91	196	1935
92	196	1919
93	197	1902
94	197	1886
95	198	1869
96	199	1853
97	199	1837
98	200	1821
99	200	1806
100	201	1791
101	201	1776
102	202	1763
103	203	1751
104	204	1739
105	204	1725
106	205	1712
107	205	1699
108	206	1686
109	206	1673
110	207	1660
111	207	1648
112	208	1636
113	209	1624
114	210	1618
115	211	1609
116	211	1597
117	212	1586
118	212	1575
119	213	1564
120	213	1553
121	214	1542
122	214	1531
123	215	1521
124	215	1511
125	216	1501
126	216	1491
127	217	1481
128	218	1472
129	218	1462
130	219	1453
131	219	1444
132	220	1435
133	220	1427
134	221	1418
135	221	1410
136	222	1401
137	223	1393
138	223	1385
139	224	1377
140	225	1371
141	225	1363
142	226	1356
143	226	1348
144	227	1341
145	227	1333
146	228	1326
147	229	1318
148	229	1311
149	230	1304
150	230	1297
151	231	1290
152	232	1284
153	232	1277
154	233	1270
155	233	1264
156	234	1257
157	234	1250
158	235	1244
159	235	1237
160	236	1230
161	236	1224
162	237	1218
163	237	1211
164	238	1206
165	238	1200
166	241	1202
167	241	1197
168	242	1192
169	243	1187
170	243	1181
171	244	1176
172	245	1171
173	245	1166
174	246	1160
175	246	1155
176	247	1149
177	247	1144
178	248	1139
179	248	1134
180	249	1129
181	250	1123
182	250	1118
183	251	1113
184	251	1108
185	252	1103
186	252	1099
187	253	1094
188	253	1089
189	254	1086
190	255	1082
191	256	1078
192	256	1074
193	257	1070
194	258	1066
195	258	1061
196	259	1057
197	260	1053
198	260	1048
199	261	1044
200	261	1040
201	262	1035
202	262	1031
203	263	1027
204	263	1023
205	264	1019
206	265	1015
207	265	1011
208	266	1007
209	266	1003
210	267	999
211	267	995
212	268	991
213	268	987
214	269	983
215	270	982
216	271	979
217	272	976
218	272	972
219	273	969
220	273	965
221	274	962
222	275	959
223	275	956
224	276	952
225	277	949
226	277	945
227	278	942
228	278	938
229	279	935
230	279	931
231	280	928
232	281	925
233	281	921
234	282	918
235	282	915
236	283	911
237	283	908
238	284	905
239	285	905
240	286	902
241	287	899
242	287	896
243	288	893
244	288	890
245	289	887
246	290	884
247	290	881
248	291	878
249	291	875
250	292	872
251	292	869
252	293	865
253	293	863
254	294	860
255	295	857
256	295	854
257	296	851
258	296	848
259	297	845
260	297	843
261	298	840
262	298	837
263	299	834
264	300	833
265	301	831
266	302	829
267	302	827
268	303	824
269	303	821
270	304	819
271	305	816
272	305	813
273	306	811
274	306	808
275	307	806
276	307	803
277	308	801
278	308	798
279	309	795
280	310	793
281	310	790
282	311	788
283	311	785
284	312	783
285	312	781
286	313	778
287	313	776
288	314	773
289	315	772
290	316	770
291	317	768
292	317	766
293	318	764
294	318	762
295	319	759
296	320	757
297	320	755
298	321	753
299	321	750
300	322	748
301	322	746
302	323	744
303	324	741
304	324	739
305	325	737
306	325	735
307	326	732
308	326	730
309	327	728
310	327	726
311	328	724
312	328	721
313	329	719
314	331	720
315	331	718
316	332	716
317	333	714
318	334	713
319	334	711
320	335	710
321	336	708
322	336	706
323	337	704
324	338	702
325	338	700
326	339	698
327	340	696
328	340	695
329	341	693
330	342	691
331	342	689
332	343	687
333	344	686
334	346	687
335	347	685
336	347	684
337	348	682
338	349	680
339	349	678
340	350	677
341	351	675
342	351	674
343	352	672
344	353	670
345	353	668
346	354	666
347	354	664
348	355	662
349	355	660
350	356	658
351	356	656
352	357	654
353	357	653
354	358	651
355	359	649
356	360	649
357	361	647
358	361	645
359	362	644
360	363	642
361	363	641
362	364	639
363	364	637
364	365	636
365	366	634
366	367	633
367	367	631
368	368	629
369	369	628
370	369	627
371	370	625
372	370	623
373	371	621
374	372	620
375	372	618
376	373	616
377	373	615
378	375	615
379	376	614
380	377	613
381	378	611
382	378	610
383	379	608
384	380	607
385	380	605
386	381	604
387	382	602
388	382	600
389	383	599
390	384	598
391	384	596
392	385	594
393	385	593
394	386	591
395	387	590
396	387	588
397	388	587
398	388	585
399	389	583
400	390	583
401	391	582
402	392	581
403	392	579
404	393	578
405	394	576
406	394	574
407	395	573
408	395	572
409	396	570
410	397	569
411	398	568
412	398	567
413	399	565
414	400	564
415	400	562
416	401	561
417	402	560
418	402	558
419	403	557
420	403	555
421	405	555
422	406	554
423	407	553
424	408	553
425	409	552
426	410	550
427	411	549
428	411	547
429	412	546
430	413	545
431	414	545
432	416	544
433	417	544
434	418	543
435	423	548
436	424	547
437	425	546
438	426	545
439	427	544
440	429	543
441	430	543
442	431	542
443	432	541
444	433	540
445	434	539
446	436	540
447	439	541
448	440	540
449	441	539
450	442	538
451	443	537
452	444	536
453	445	535
454	447	535
455	448	534
456	449	533
457	453	536
458	454	536
459	455	535
460	456	534
461	457	532
462	458	531
463	459	530
464	460	529
465	461	528
466	461	527
467	462	525
468	463	524
469	463	522
470	464	521
471	465	520
472	466	519
473	467	518
474	468	517
475	468	515
476	469	514
477	469	513
478	470	511
479	471	510
480	472	510
481	474	510
482	475	509
483	476	508
484	477	507
485	478	506
486	479	505
487	480	504
488	481	503
489	482	502
490	483	500
491	483	499
492	484	497
493	484	496
494	485	495
495	485	493
496	486	492
497	487	490
498	487	489
499	488	488
500	488	486
501	489	485
502	489	483
503	490	482
504	490	481
505	491	479
506	491	478
507	492	477
508	493	475
509	493	474
510	494	472
511	496	473
512	497	472
513	498	470
514	498	469
515	499	468
516	499	466
517	500	465
518	500	464
519	501	462
520	502	461
521	502	460
522	503	458
523	503	457
524	504	456
525	504	454
526	505	453
527	505	452
528	506	450
529	506	449
530	507	448
531	507	446
532	508	445
533	509	444
534	509	442
535	510	442
536	511	441
537	512	439
538	512	438
539	513	437
540	514	436
541	514	434
542	515	433
543	515	432
544	516	431
545	516	429
546	517	428
547	518	427
548	518	426
549	519	424
550	519	423
551	520	422
552	520	420
553	521	419
554	521	418
555	522	417
556	522	415
557	523	414
558	524	413
559	524	412
560	527	412
561	528	411
562	528	410
563	529	409
564	530	408
565	530	407
566	531	405
567	532	404
568	532	403
569	533	402
570	533	401
571	534	399
572	535	398
573	535	397
574	536	396
575	536	395
576	537	393
577	537	392
578	538	391
579	538	390
580	539	388
581	539	387
582	543	388
583	543	387
584	544	386
585	544	384
586	545	383
587	546	382
588	546	381
589	547	380
590	547	379
591	548	378
592	549	376
593	549	375
594	550	374
595	550	373
596	551	372
597	551	370
598	552	369
599	552	368
600	553	367
601	553	366
602	554	365
603	555	363
604	557	363
605	557	362
606	558	361
607	559	360
608	560	359
609	560	358
610	561	357
611	561	356
612	562	354
613	562	353
614	563	352
615	563	351
616	564	350
617	565	349
618	565	348
619	566	347
620	566	345
621	567	344
622	567	343
623	568	342
624	568	341
625	569	340
626	569	339
627	570	337
628	571	337
629	572	336
630	573	335
631	574	334
